Activity ID,Pillar,Age Group,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Hashtags,Materials,Steps,Skills
cognitive-skills-infant-0-1-visual-tracking-and-focus-4,Cognitive Skills,Infant (0-1),Visual Tracking & Focus,Develop visual attention and tracking abilities through hands-on activities,4,Colorful Mobile Watching,Colorful Mobile Watching,Stimulate visual processing and focus through mobile observation,"Use colorful mobiles to encourage sustained visual attention and tracking, building focus and visual processing skills.",1-8 months,10-15 min,#VisualProcessing;#SustainedAttention;#MobilePlay,Colorful baby mobile (supplied by us);Crib or play area (available at home);Soft music box (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Hang mobile above baby's line of sight in crib or play area;Wind up mobile and let baby watch it move;Talk about colors and movement: 'Look at the red bird flying!';Play soft music while mobile moves;Change mobile position occasionally to maintain interest;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Visual processing;Color recognition;Sustained attention;Auditory processing;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-visual-tracking-and-focus-5,Cognitive Skills,Infant (0-1),Visual Tracking & Focus,Develop visual attention and tracking abilities through hands-on activities,5,Light and Shadow Exploration,Light and Shadow Exploration,Develop visual discrimination and curiosity through light play,Use flashlight to create shadows and light patterns for visual stimulation and curiosity development.,3-12 months,10 min,#VisualDiscrimination;#LightPlay;#ShadowFun,Child-safe flashlight (supplied by us);Colorful transparent objects (supplied by us);White wall or surface (available at home);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Turn off lights and use flashlight in dim room;Create moving light patterns on wall or ceiling;Let baby track the light with their eyes;Use colorful transparent objects to create colored shadows;Always supervise and never shine light directly in baby's eyes;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Visual discrimination;Curiosity;Light awareness;Tracking skills;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-cause-and-effect-learning-1,Cognitive Skills,Infant (0-1),Cause and Effect Learning,Understand that actions have consequences through hands-on experiments,1,Rattle Shake Response,Rattle Shake Response,Learn that shaking creates sound through interactive play,"Help baby understand that their actions (shaking) create sounds and effects, building cause-and-effect understanding.",2-8 months,5-10 min,#CauseAndEffect;#SoundResponse;#RattlePlay,Baby-safe rattle (supplied by us);Soft play mat (available at home);Different textured rattles (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Give baby a rattle and let them explore it;Demonstrate shaking to make sound;Encourage baby to shake and listen to the sound;Try different rattles with different sounds;Celebrate when baby makes sounds: 'Great shaking!';Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Cause and effect;Sound recognition;Motor control;Hand-eye coordination;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-cause-and-effect-learning-2,Cognitive Skills,Infant (0-1),Cause and Effect Learning,Understand that actions have consequences through hands-on experiments,2,Button Press Discovery,Button Press Discovery,Understand that pressing creates results through interactive toys,"Use toys with buttons that make sounds or light up when pressed, teaching cause-and-effect relationships.",4-12 months,10-15 min,#ButtonPressing;#ActionResponse;#ToyInteraction,Interactive button toys (supplied by us);Soft play area (available at home);Musical instruments (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),"Show baby how to press buttons on interactive toys;Let them press and see the result (sound, light, movement);Celebrate their success with clapping and praise;Try different buttons with different effects;Help baby understand the connection between pressing and results;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete",Button pressing;Action understanding;Success recognition;Fine motor skills;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-cause-and-effect-learning-3,Cognitive Skills,Infant (0-1),Cause and Effect Learning,Understand that actions have consequences through hands-on experiments,3,Drop and Retrieve Game,Drop and Retrieve Game,Learn about gravity and object behavior through hands-on exploration,"Drop soft objects and watch them fall, then help baby retrieve them, teaching about gravity and object behavior.",6-12 months,10 min,#GravityLearning;#ObjectBehavior;#DropAndRetrieve,Soft balls of different sizes (supplied by us);Soft toys (available at home);Soft play mat (available at home);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Drop soft objects from different heights while baby watches;Let baby watch them fall and land;Help baby retrieve and drop objects again;Talk about what's happening: 'The ball falls down!';Let baby try dropping objects themselves;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Gravity understanding;Object behavior;Retrieval skills;Hand-eye coordination;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-cause-and-effect-learning-4,Cognitive Skills,Infant (0-1),Cause and Effect Learning,Understand that actions have consequences through hands-on experiments,4,Water Splash Discovery,Water Splash Discovery,Explore cause and effect with water through supervised play,"Let baby splash in water and discover the effects of their actions, building cause-and-effect understanding.",6-12 months,10-15 min,#WaterPlay;#SplashDiscovery;#ActionEffects,Shallow water container (supplied by us);Soft towels (available at home);Water-safe toys (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Let baby sit in shallow water in safe container;Encourage splashing with hands and feet;Talk about the water movement and splashes;Add water-safe toys for more interaction;Always supervise closely and dry baby thoroughly after;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Water exploration;Splash effects;Motor coordination;Sensory development;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-cause-and-effect-learning-5,Cognitive Skills,Infant (0-1),Cause and Effect Learning,Understand that actions have consequences through hands-on experiments,5,Musical Instrument Response,Musical Instrument Response,Connect actions with musical sounds through instrument play,"Use simple musical instruments to show that hitting or shaking creates music, building cause-and-effect understanding.",4-12 months,10 min,#MusicalResponse;#SoundCreation;#InstrumentPlay,Baby-safe musical instruments (supplied by us);Soft play mat (available at home);Simple rhythm instruments (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby how to play different instruments;Let them try to make sounds with their hands;Respond to their musical attempts with enthusiasm;Try different instruments with different sounds;Create simple rhythms together;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Musical response;Sound creation;Instrument interaction;Rhythm awareness;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-memory-development-1,Cognitive Skills,Infant (0-1),Memory Development,Build early memory and recognition skills through engaging activities,1,Familiar Face Recognition Game,Familiar Face Recognition Game,Develop recognition of familiar people through photo play,Help baby recognize and respond to familiar faces through repeated exposure and interactive photo games.,2-12 months,5-10 min,#FaceRecognition;#FamiliarPeople;#MemoryBuilding,Family photos in safe frames (available at home);Baby-safe mirror (supplied by us);Photo album (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby photos of family members one by one;Point and name each person: 'This is Grandma!';Use mirror to show baby their own face;Repeat names and faces regularly;Celebrate when baby recognizes familiar faces;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Face recognition;Familiarity;Memory development;Social connection;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-memory-development-2,Cognitive Skills,Infant (0-1),Memory Development,Build early memory and recognition skills through engaging activities,2,Routine Memory Building,Routine Memory Building,Remember daily routines and sequences through consistent practice,"Establish consistent routines to help baby remember and anticipate what comes next, building memory and anticipation skills.",3-12 months,Throughout day,#RoutineMemory;#SequenceLearning;#DailyRoutines,Daily routine items (available at home);Consistent schedule (available at home);Routine cards (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),"Follow consistent daily routines (feeding, sleeping, playing);Use the same words and actions each time;Let baby anticipate next steps in routine;Use routine cards to show what comes next;Celebrate when baby shows anticipation;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete",Routine memory;Sequence learning;Anticipation;Predictability;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-memory-development-3,Cognitive Skills,Infant (0-1),Memory Development,Build early memory and recognition skills through engaging activities,3,Hidden Object Memory Game,Hidden Object Memory Game,Remember where objects are hidden through interactive play,"Hide favorite toys in predictable places and help baby remember where to find them, building memory and search skills.",6-12 months,10 min,#HiddenObjects;#LocationMemory;#ToyHunting,Baby's favorite toys (available at home);Soft hiding spots (available at home);Colorful scarves (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Hide toy in same place several times while baby watches;Let baby watch you hide it;Help them find it and celebrate success;Try different hiding spots;Let baby hide toys for you to find;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Location memory;Object permanence;Search skills;Problem solving;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-memory-development-4,Cognitive Skills,Infant (0-1),Memory Development,Build early memory and recognition skills through engaging activities,4,Song and Rhyme Repetition,Song and Rhyme Repetition,Build memory through repetition and rhythm,"Repeat favorite songs and rhymes to help baby remember and anticipate words, building memory and language skills.",3-12 months,10-15 min,#SongRepetition;#RhymeMemory;#MusicalMemory,Familiar songs and rhymes (available at home);Musical instruments (supplied by us);Rhythm tools (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Sing the same songs repeatedly with baby;Use hand gestures and movements;Let baby anticipate familiar parts;Add musical instruments for rhythm;Celebrate when baby shows recognition;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Musical memory;Rhyme recognition;Anticipation;Language development;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-memory-development-5,Cognitive Skills,Infant (0-1),Memory Development,Build early memory and recognition skills through engaging activities,5,Familiar Object Recognition,Familiar Object Recognition,Recognize and remember favorite objects through interactive play,"Help baby recognize and remember their favorite toys and objects, building memory and recognition skills.",4-12 months,10 min,#ObjectRecognition;#FavoriteToys;#MemoryBuilding,Baby's favorite toys (available at home);Familiar objects (available at home);Recognition games (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby their favorite toys one by one;Name each object consistently;Let them choose between familiar items;Hide and reveal favorite objects;Celebrate recognition and choice making;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Object recognition;Familiarity;Choice making;Memory development;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-problem-solving-basics-1,Cognitive Skills,Infant (0-1),Problem Solving Basics,Develop early problem-solving and decision-making skills through hands-on challenges,1,Obstacle Navigation Challenge,Obstacle Navigation Challenge,Learn to navigate around obstacles through guided play,"Create simple obstacles for baby to navigate around or over, building problem-solving and movement skills.",6-12 months,10-15 min,#ObstacleNavigation;#ProblemSolving;#MovementSkills,Soft pillows and cushions (available at home);Soft play mat (available at home);Safe obstacle course materials (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Place soft obstacles in baby's path;Encourage them to crawl around or over obstacles;Guide them through the course;Celebrate their navigation success;Try different obstacle arrangements;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Obstacle navigation;Problem solving;Movement planning;Spatial awareness;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-problem-solving-basics-2,Cognitive Skills,Infant (0-1),Problem Solving Basics,Develop early problem-solving and decision-making skills through hands-on challenges,2,Container Opening Challenge,Container Opening Challenge,Learn to open containers and lids through guided practice,"Provide containers with lids for baby to practice opening and closing, building fine motor skills and problem-solving abilities.",8-12 months,10-15 min,#ContainerOpening;#LidRemoval;#FineMotorSkills,Containers with different lids (supplied by us);Small toys to put inside (available at home);Safe opening tools (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Put small toys in containers with lids;Show baby how to remove lids;Let them practice opening and closing;Try different types of lids;Celebrate successful openings;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Container opening;Lid manipulation;Fine motor skills;Problem solving;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-problem-solving-basics-3,Cognitive Skills,Infant (0-1),Problem Solving Basics,Develop early problem-solving and decision-making skills through hands-on challenges,3,Shape Fitting Practice,Shape Fitting Practice,Learn to fit shapes into matching holes through guided play,"Use simple shape sorters to help baby learn shape recognition and fitting, building spatial and problem-solving skills.",9-12 months,15 min,#ShapeFitting;#ShapeRecognition;#SpatialSkills,Simple shape sorter (supplied by us);Basic shapes (supplied by us);Soft play mat (available at home);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby how shapes fit into holes;Let them try to match shapes;Help and guide their attempts;Celebrate successful fittings;Try different shapes and orientations;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Shape recognition;Spatial fitting;Problem solving;Hand-eye coordination;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-problem-solving-basics-4,Cognitive Skills,Infant (0-1),Problem Solving Basics,Develop early problem-solving and decision-making skills through hands-on challenges,4,Stacking and Building Challenge,Stacking and Building Challenge,Learn to stack objects and build structures through guided play,"Provide blocks or cups for baby to practice stacking and building, developing spatial skills and problem-solving abilities.",8-12 months,15 min,#Stacking;#Building;#SpatialSkills,Soft blocks of different sizes (supplied by us);Stacking cups (supplied by us);Soft play mat (available at home);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby how to stack blocks;Let them try to build towers;Help guide their stacking attempts;Celebrate when they succeed;Try different stacking patterns;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Stacking skills;Building;Spatial understanding;Problem solving;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-problem-solving-basics-5,Cognitive Skills,Infant (0-1),Problem Solving Basics,Develop early problem-solving and decision-making skills through hands-on challenges,5,Choice Making Practice,Choice Making Practice,Learn to make simple choices between options through guided decision-making,"Present baby with two options and let them choose, building decision-making skills and independence.",6-12 months,10 min,#ChoiceMaking;#DecisionSkills;#PreferenceLearning,Two different toys (available at home);Two different foods (available at home);Choice presentation tools (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Present two options to baby;Let them reach for their choice;Respect and follow their selection;Try different types of choices;Celebrate their decision-making;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Choice making;Decision skills;Preference expression;Independence;Learning assessment;Progress tracking;Resource management
